"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"11501","WR","Eric","Decker","10.7","1","6000","NYJ@IND","NYJ","IND","","","",""
"6914","TE","Greg","Olsen","1.6","1","6000","HOU@CAR","CAR","HOU","","","",""
"14626","WR","Doug","Baldwin","7","1","6000","SEA@GB","SEA","GB","","","",""
"31871","RB","Charles","Sims","4.5","1","6000","TB@NO","TB","NO","","","",""
"14288","WR","Torrey","Smith","1.6","1","5900","SF@PIT","SF","PIT","","","",""
"33557","TE","Tyler","Eifert","26.9","1","5900","SD@CIN","CIN","SD","","","",""
"6803","QB","Josh","McCown","2.3","1","5900","TEN@CLE","CLE","TEN","Q","Concussion","",""
"7844","QB","Chad","Henne","10.4","3","5900","MIA@JAC","JAC","MIA","","","",""
"6883","WR","Larry","Fitzgerald","11.7","1","5900","ARI@CHI","ARI","CHI","","","",""
"54684","RB","Isaiah","Crowell","4.3","1","5800","TEN@CLE","CLE","TEN","","","",""
"39649","RB","Benny","Cunningham","14.2","1","5800","STL@WAS","STL","WAS","","","",""
"6566","RB","Chris","Johnson","3.7","1","5700","ARI@CHI","ARI","CHI","","","",""
"29683","WR","Nelson","Agholor","1","1","5700","DAL@PHI","PHI","DAL","","","",""
"7645","WR","Steve","Johnson","17.2","1","5700","SD@CIN","SD","CIN","","","",""
"28643","WR","Allen","Robinson","3.2","1","5700","MIA@JAC","JAC","MIA","P","Knee","",""
"31406","RB","Alfred","Blue","5.4","1","5700","HOU@CAR","HOU","CAR","","","",""
"7053","QB","Matt","Flynn","-0.2","7","5700","NYJ@IND","NYJ","IND","","","",""
"11425","RB","Ryan","Mathews","10.3","1","5700","DAL@PHI","PHI","DAL","","","",""
"22288","WR","Cole","Beasley","4.9","1","5700","DAL@PHI","DAL","PHI","","","",""
"6704","WR","Percy","Harvin","17.3","1","5700","NE@BUF","BUF","NE","","","",""
"22038","QB","Kirk","Cousins","9.7","1","5700","STL@WAS","WAS","STL","","","",""
"21994","QB","Brock","Osweiler","1.5","4","5600","DEN@KC","DEN","KC","","","",""
"21952","WR","Michael","Floyd","2.3","1","5600","ARI@CHI","ARI","CHI","P","Finger","",""
"31421","QB","Zach","Mettenberger","-0.5","1","5600","TEN@CLE","TEN","CLE","","","",""
"7972","RB","Darren","Sproles","16.1","1","5600","DAL@PHI","PHI","DAL","","","",""
"22047","TE","Ladarius","Green","15.9","1","5600","SD@CIN","SD","CIN","","","",""
