"Player","Team","Points","Cost","Position"
"WESTCHARCANDRICK"," KC",9.96,5900,"RB"
"BOLDINANQUAN"," SF",9.67,6300,"WR"
"SNEADWILLIE"," NO",9.59,6500,"WR"
"JACKSONVINCENT"," TB",9.17,6800,"WR"
"EVANSMIKE"," TB",9.1,7500,"WR"
"GINNTED"," CAR",8.97,5300,"WR"
"WOODHEADDANNY"," SD",8.96,6000,"RB"
"MATTHEWSRISHARD"," MIA",8.85,6400,"WR"
"DECKERERIC"," NYJ",9.09,6200,"WR"
"KELCETRAVIS"," KC",9.34,6000,"TE"
"TATEGOLDEN"," DET",9.39,6700,"WR"
"GATESANTONIO"," SD",9.11,5800,"TE"
"JONESMATT"," WSH",7.9,5600,"RB"
"WITTENJASON"," DAL",9.1,5600,"TE"
"ABDULLAHAMEER"," DET",8.21,5700,"RB"
"AIKENKAMAR"," BAL",8.4,5600,"WR"
"BARNIDGEGARY"," CLE",8.47,5900,"TE"
"GARCONPIERRE"," WSH",8.72,6100,"WR"
"MORRISALFRED"," WSH",7.28,5600,"RB"
"MANUELEJ"," BUF",6.85,6600,"QB"
"ANDREWSANTONIO"," TEN",7.99,5400,"RB"
"JONESLANDRY"," PIT",6.58,6000,"QB"
"JOHNSONDUKE"," CLE",7.65,5600,"RB"
"MCFADDENDARREN"," DAL",7.91,6000,"RB"
"WALLACEMIKE"," MIN",7.92,5400,"WR"
"BELLJOIQUE"," DET",7.86,5500,"RB"
"WILLIAMSKARLOS"," BUF",6.83,6900,"RB"
"THOMASJULIUS"," JAC",8.2,5600,"TE"
"VEREENSHANE"," NYG",7.34,5600,"RB"
"CROWDERJAMISON"," WSH",8.11,5800,"WR"
"MATHEWSRYAN"," PHI",6.64,5600,"RB"
"BALDWINDOUG"," SEA",7.72,5800,"WR"
"FLOYDMALCOM"," SD",7.06,5400,"WR"
"RAWLSTHOMAS"," SEA",6.2,5800,"RB"
"HUNTERJUSTIN"," TEN",7.07,4800,"WR"
"KEARSEJERMAINE"," SEA",7.43,5700,"WR"
"CROWELLISAIAH"," CLE",6.67,6000,"RB"
"SANKEYBISHOP"," TEN",6.47,5300,"RB"
"JOHNSONSTEVE"," SD",7.07,5700,"WR"
"RIDDICKTHEO"," DET",7.58,5200,"RB"
"JOHNSONANDRE"," IND",6.93,5700,"WR"
"WALKERDELANIE"," TEN",7.17,5500,"TE"
"BRITTKENNY"," STL",6.72,5200,"WR"
"FLEENERCOBY"," IND",7.28,5100,"TE"
