"","Player","Points","Cost","Position"
"308","Zach Zenner (DET - RB)",1.1,4500,"RB"
"309","John Kuhn (GB - RB)",1.1,4500,"RB"
"310","Bobby Rainey (TB - RB)",1.1,4800,"RB"
"311","Zac Stacy (NYJ - RB)",1.1,4800,"RB"
"312","Isaiah Pead (STL - RB)",1.1,4900,"RB"
"313","Juwan Thompson (DEN - RB)",1,4500,"RB"
"314","Chris Thompson (WAS - RB)",0.9,4800,"RB"
"315","Darrel Young (WAS - RB)",0.8,4500,"RB"
"316","Tommy Bohanon (NYJ - RB)",0.7,4500,"RB"
"317","Derrick Coleman (SEA - RB)",0.6,4500,"RB"
"318","Shaun Draughn (CLE - RB)",0.5,4500,"RB"
"319","Antonio Andrews (TEN - RB) Q",0.5,4500,"RB"
"320","Jordan Todman (PIT - RB)",0.5,4700,"RB"
"321","Stepfan Taylor (ARI - RB)",0.5,4500,"RB"
"322","Jorvorskie Lane (TB - RB)",0.4,4500,"RB"
"323","Cedric Peerman (CIN - RB)",0.3,4500,"RB"
"324","Rob Gronkowski (NE - TE)",15.1,8400,"TE"
"325","Travis Kelce (KC - TE)",11.3,6400,"TE"
"326","Greg Olsen (CAR - TE)",10.8,5900,"TE"
"327","Jordan Reed (WAS - TE)",10.5,5300,"TE"
"328","Tyler Eifert (CIN - TE)",10.4,5900,"TE"
"329","Jimmy Graham (SEA - TE)",10.2,6300,"TE"
"330","Martellus Bennett (CHI - TE)",10.2,5600,"TE"
"331","Jason Witten (DAL - TE) Q",9.9,6000,"TE"
"332","Kyle Rudolph (MIN - TE)",9.7,5300,"TE"
"333","Heath Miller (PIT - TE)",8.9,5800,"TE"
"334","Jordan Cameron (MIA - TE) Q",8.6,5400,"TE"
"335","Delanie Walker (TEN - TE) Q",8.2,5200,"TE"
"336","Ladarius Green (SD - TE) Q",7.3,5600,"TE"
"337","Eric Ebron (DET - TE)",6.7,5100,"TE"
"338","Vernon Davis (SF - TE)",6.7,5400,"TE"
"339","Crockett Gillmore (BAL - TE)",6.1,5400,"TE"
"340","Zach Ertz (PHI - TE)",6,5200,"TE"
"341","Larry Donnell (NYG - TE)",5.9,5400,"TE"
"342","Jared Cook (STL - TE)",5.6,5400,"TE"
"343","Charles Clay (BUF - TE)",5.4,4900,"TE"
"344","Dwayne Allen (IND - TE) Q",5.3,5200,"TE"
"345","Richard Rodgers (GB - TE)",5.3,4900,"TE"
